Time (s),Raw Pressure (mmHg),Low-Pass Filtered (Amplitude),BPM (at peak time)
0.121,0.00,0.0000,
0.142,0.00,0.0000,
0.152,0.00,0.0000,
0.162,0.00,0.0000,
0.175,0.00,0.0000,
0.182,0.00,0.0000,
0.192,0.00,0.0000,
0.202,0.00,0.0000,
0.215,0.00,0.0000,
0.264,0.00,0.0000,
0.290,0.00,0.0000,
0.317,0.00,0.0000,
0.329,0.00,0.0000,
0.342,0.00,0.0000,
0.355,0.00,0.0000,
0.366,0.00,0.0000,
0.377,0.00,0.0000,
0.387,0.00,0.0000,
0.401,0.00,0.0000,
0.421,0.00,0.0000,
0.435,0.00,0.0000,
0.454,0.00,0.0000,
0.470,0.00,0.0000,
0.484,0.00,0.0000,
0.498,0.00,0.0000,
0.512,0.00,0.0000,
0.526,0.00,0.0000,
0.545,0.00,0.0000,
0.562,0.00,0.0000,
0.576,0.00,0.0000,
0.590,0.00,0.0000,
0.605,0.00,0.0000,
0.623,0.00,0.0000,
0.635,0.00,0.0000,
0.652,0.00,0.0000,
0.666,0.00,0.0000,
0.681,0.00,0.0000,
0.695,0.00,0.0000,
0.710,0.00,0.0000,
0.724,0.00,0.0000,
0.742,0.00,0.0000,
0.757,0.00,0.0000,
0.771,0.00,0.0000,
0.782,0.00,0.0000,
0.802,0.00,0.0000,
0.814,0.00,0.0000,
0.826,0.00,0.0000,
0.834,0.00,0.0000,
0.847,0.00,0.0000,
0.859,0.00,0.0000,
0.869,0.00,0.0000,
0.884,0.00,0.0000,
0.894,0.00,0.0000,
0.904,0.00,0.0000,
0.915,0.00,0.0000,
0.925,0.00,0.0000,
0.934,0.00,0.0000,
0.946,0.00,0.0000,
0.957,0.00,0.0000,
0.965,0.00,0.0000,
0.978,0.00,0.0000,
0.989,0.00,0.0000,
0.999,0.00,0.0000,
1.008,0.01,0.0000,
1.040,0.75,0.0001,
1.095,2.68,0.0005,
1.110,2.93,0.0028,
1.127,3.80,0.0095,
1.148,4.11,0.0251,
1.184,5.34,0.0545,
1.198,5.61,0.1039,
1.212,6.17,0.1793,
1.224,6.64,0.2866,
1.247,7.14,0.4310,
1.257,7.25,0.6170,
1.279,8.31,0.8473,
1.315,9.26,1.1236,
1.344,9.92,1.4465,
1.374,10.87,1.8156,
1.450,13.25,2.2304,
1.479,14.03,2.6899,
1.494,14.58,3.1941,
1.513,15.24,3.7428,
1.525,15.60,4.3360,
1.537,15.83,4.9727,
1.548,16.12,5.6510,
1.558,16.67,6.3675,
1.565,16.68,7.1172,
1.573,16.96,7.8941,
1.584,17.16,8.6909,
1.594,17.67,9.4994,
1.603,17.79,10.3110,
1.614,18.27,11.1170,
1.624,18.47,11.9090,
1.639,19.04,12.6793,
1.649,19.14,13.4211,
1.665,19.77,14.1289,
1.681,20.21,14.7983,
1.707,20.85,15.4265,
1.730,21.73,16.0123,
1.751,22.40,16.5561,
1.767,22.74,17.0599,
1.781,23.17,17.5275,
1.822,24.67,17.9635,
1.842,25.35,18.3736,
1.860,25.68,18.7643,
1.872,26.03,19.1428,
1.888,26.66,19.5161,
1.899,26.73,19.8908,
1.911,27.10,20.2727,
1.924,27.03,20.6661,
1.942,27.70,21.0741,
1.964,28.98,21.4982,
1.978,29.07,21.9388,
1.985,29.27,22.3957,
1.994,29.50,22.8682,
2.004,29.80,23.3548,
2.015,30.53,23.8533,
2.024,30.39,24.3608,
2.034,30.70,24.8744,
2.047,31.16,25.3907,
2.057,31.75,25.9061,
2.067,31.87,26.4172,
2.075,31.96,26.9211,
2.084,32.38,27.4149,
2.094,32.56,27.8961,
2.105,33.23,28.3626,
2.114,33.22,28.8129,
2.125,33.50,29.2457,
2.134,33.71,29.6605,
2.144,33.87,30.0570,
2.154,34.29,30.4352,
2.168,34.83,30.7955,
2.186,35.47,31.1386,
2.200,35.65,31.4657,
2.217,36.28,31.7788,
2.234,36.71,32.0803,
2.254,37.48,32.3729,
2.273,37.84,32.6599,
2.295,38.51,32.9446,
2.313,39.26,33.2307,
2.330,39.27,33.5221,
2.348,40.23,33.8221,
2.366,40.59,34.1342,
2.384,41.00,34.4612,
2.410,42.24,34.8055,
2.428,42.58,35.1690,
2.451,43.59,35.5535,
2.469,43.90,35.9602,
2.485,44.60,36.3903,
2.501,44.99,36.8444,
2.515,45.61,37.3226,
2.528,45.41,37.8245,
2.540,45.87,38.3486,
2.553,46.33,38.8928,
2.565,46.77,39.4539,
2.576,46.74,40.0282,
2.589,47.74,40.6114,
2.606,48.01,41.1991,
2.621,48.38,41.7871,
2.646,49.44,42.3715,
2.659,49.40,42.9489,
2.670,49.85,43.5166,
2.687,50.48,44.0726,
2.705,51.07,44.6153,
2.727,51.79,45.1442,
2.746,52.03,45.6589,
2.763,52.57,46.1602,
2.778,53.11,46.6490,
2.790,53.49,47.1269,
2.802,53.87,47.5954,
2.814,54.31,48.0562,
2.830,54.70,48.5111,
2.842,54.77,48.9615,
2.854,55.49,49.4086,
2.866,55.70,49.8532,
2.881,56.22,50.2958,
2.892,56.24,50.7368,
2.904,56.98,51.1761,
2.915,57.04,51.6135,
2.925,57.52,52.0487,
2.940,58.05,52.4812,
2.962,58.52,52.9103,
2.974,58.94,53.3358,
2.989,59.49,53.7573,
2.998,59.71,54.1750,
3.008,60.18,54.5890,
3.025,60.56,54.9997,
3.043,60.96,55.4074,
3.060,61.48,55.8127,
3.074,61.83,56.2160,
3.092,62.65,56.6177,
3.111,63.24,57.0187,
3.128,63.45,57.4198,
3.142,64.04,57.8220,
3.154,64.28,58.2265,
3.171,64.76,58.6342,
3.182,65.22,59.0461,
3.194,65.67,59.4626,
3.204,65.83,59.8841,
3.215,66.12,60.3107,
3.225,66.37,60.7419,
3.236,66.77,61.1770,
3.247,67.04,61.6149,
3.257,67.32,62.0540,
3.268,67.53,62.4927,
3.278,68.14,62.9293,
3.288,68.25,63.3620,
3.299,68.74,63.7891,
3.310,68.91,64.2092,
3.320,69.30,64.6212,
3.332,69.62,65.0240,
3.342,70.11,65.4170,
3.353,70.20,65.8000,
3.366,70.95,66.1728,
3.382,70.94,66.5359,
3.398,71.89,66.8899,
3.411,72.01,67.2357,
3.436,72.83,67.5748,
3.451,73.26,67.9087,
3.464,73.57,68.2395,
3.479,74.19,68.5695,
3.492,74.84,68.9009,
3.506,75.02,69.2362,
3.520,75.28,69.5774,
3.533,75.84,69.9266,
3.547,76.17,70.2851,
3.560,76.62,70.6539,
3.574,76.99,71.0335,
3.584,77.07,71.4238,
3.599,77.76,71.8245,
3.613,78.34,72.2346,
3.624,78.38,72.6529,
3.638,78.95,73.0782,
3.651,79.49,73.5090,
3.662,79.64,73.9440,
3.674,80.08,74.3817,
3.689,80.91,74.8208,
3.705,80.86,75.2600,
3.716,81.33,75.6985,
3.728,81.74,76.1353,
3.743,82.27,76.5696,
3.758,82.65,77.0009,
3.773,83.19,77.4287,
3.789,83.51,77.8529,
3.803,83.84,78.2735,
3.816,84.12,78.6907,
3.831,84.74,79.1047,
3.842,85.26,79.5158,
3.857,85.30,79.9242,
3.872,85.88,80.3303,
3.886,86.51,80.7345,
3.901,86.78,81.1373,
3.916,87.38,81.5389,
3.932,87.66,81.9401,
3.947,88.16,82.3414,
3.961,88.51,82.7433,
3.976,89.29,83.1465,
3.990,89.46,83.5514,
4.005,89.89,83.9586,
4.020,90.35,84.3685,
4.035,91.03,84.7815,
4.058,91.51,85.1979,
4.071,91.84,85.6180,
4.080,92.07,86.0419,
4.089,92.24,86.4700,
4.253,97.59,86.9022,
4.293,98.60,87.3398,
4.342,100.16,87.7864,
4.372,101.17,88.2483,
4.402,101.44,88.7338,
4.432,102.96,89.2519,
4.463,103.65,89.8109,
4.494,104.75,90.4183,
4.524,105.36,91.0796,
4.555,106.38,91.7985,
4.581,107.38,92.5767,
4.608,108.29,93.4136,
4.631,108.73,94.3069,
4.655,109.20,95.2525,
4.691,110.93,96.2448,
4.731,111.88,97.2765,
4.771,112.80,98.3403,
4.810,114.20,99.4285,
4.850,115.44,100.5338,
4.885,116.15,101.6499,
4.928,117.71,102.7710,
4.951,118.49,103.8926,
4.973,118.84,105.0109,
4.997,119.85,106.1230,
5.018,120.49,107.2263,
5.045,121.34,108.3183,
5.080,122.49,109.3968,
5.114,123.49,110.4599,
5.151,124.35,111.5061,
5.184,125.21,112.5346,
5.213,126.08,113.5450,
5.257,127.64,114.5374,
5.282,128.17,115.5127,
5.309,129.00,116.4721,
